Actual_Values,Lower_5%,Upper_5%
7120.73,6941.45,7012.46
6857.21,6776.6,6845.24
8196.15,7990.4484999999995,8136.205
6914.76,6861.0225,6932.773
8192.85,8073.70225,8149.89
9710.98,9548.13,9740.93275
9636.8,9604.7975,9714.30675
8252.87,8066.76,8125.6015
7090.38,6988.26925,7132.39
7695.17,7540.57,7665.349
6560.41,6542.417,6626.6655
7144.81,7061.88675,7086.561
7806.43,7686.193,7769.696
7605.35,7528.2074999999995,7638.53
9660.32,9576.269999999999,9716.817500000001
5764.92,5678.9675,5735.5205000000005
9082.96,9001.85,9162.439
8182.05,8066.9335,8203.7695
8047.89,7970.4135,8106.82
6312.62,6228.1984999999995,6287.58
7986.18,7890.2,7984.762000000001
8119.63,8131.2825,8164.8995
7561.83,7466.55075,7564.7
8332.65,8342.657,8406.56
7388.11,7330.8345,7446.3775
8029.51,7887.3705,8004.8414999999995
7234.32,7173.1365,7248.97
8585.12,8510.2215,8663.688250000001
7372.51,7373.654500000001,7411.46
9672.53,9561.22,9622.7915
8089.2,7917.626499999999,8023.94
5696.69,5558.78,5614.82
8635.87,8632.65675,8653.12075
8650.68,8465.4935,8586.606
8662.17,8493.0195,8637.474999999999
6622.89,6553.8635,6613.767
7852.28,7858.662,7891.96
12439.33,12376.4315,12573.29
8659.88,8596.3095,8664.1185
7724.23,7586.513,7663.85275
7833.99,7603.723,7709.93725
6440.83,6352.92,6414.799
7295.14,7267.0385,7291.9995
8159.76,8179.762,8345.7875
7275.07,7231.58,7314.4
7558.35,7412.6449999999995,7617.4525
7468.07,7501.23625,7570.209
7407.85,7309.1955,7340.91
7303.47,7199.48,7301.31
7783.59,7664.758500000001,7741.666
5903.45,5874.541,5916.4805
7394.23,7288.589,7415.08725
6487.71,6437.395,6499.7485
6874.62,6585.3724999999995,6621.38
8304.0,8070.96925,8189.7765
8187.51,8070.765,8159.43
7928.05,7952.78075,8001.86
9062.31,8497.7225,8672.35475
8535.11,8515.694,8567.1625
9804.2,9709.27,9796.33
8397.63,8202.88,8355.43
7036.45,7031.5625,7076.56
8066.52,7949.529500000001,8058.0975
11207.6,11169.02,11223.38
8603.05,8501.5,8587.82475
6892.33,6819.228999999999,6847.72725
7466.0,7465.029,7506.75925
6698.58,6620.52,6727.55125
8212.12,8300.2955,8330.5485
9735.82,9436.933,9633.38
6336.77,6346.933,6398.4980000000005
7180.86,7123.4555,7165.358499999999
6551.27,6546.879000000001,6589.07
8056.23,7919.9625,8005.87
9934.9,9936.026500000002,10131.33
5535.31,5510.166,5565.44
7577.67,7653.009,7760.634
9825.04,9669.8925,9791.950499999999
8496.53,8435.17,8460.562
7106.58,7006.103999999999,7083.44
8103.98,8114.0945,8219.017
8382.14,8164.8305,8269.285249999999
7908.98,7859.232,7890.2
8781.44,8777.103,8808.22
8377.02,8278.7555,8376.2385
8538.9,8452.288,8528.332
6621.95,6592.892,6654.38775
9309.01,9202.9085,9248.05
8844.42,8854.678,9050.86
7421.25,7337.110000000001,7407.4617499999995
8127.26,7978.7742499999995,8113.39
8103.52,7961.85,8070.1795
6481.59,6429.089,6462.9865
6987.7,7055.43375,7069.3
5986.53,5905.2525000000005,5969.8615
6051.72,6029.865000000001,6089.52
10213.33,10138.60575,10265.931999999999
8100.29,7905.3640000000005,7983.589
7394.65,7342.4565,7393.17
7359.15,7284.9,7355.353
7140.53,7070.029500000001,7098.125
7733.43,7787.6669999999995,7862.82675
7381.93,7206.54,7326.7032500000005
