,prediction,target
380,7212.152552521145,7170.99
381,7117.745852496055,7154.44
382,7051.518580947083,7113.92
383,7019.856203509961,7036.34
384,6933.017920110714,6956.01
385,6803.969439570441,6792.74
386,6647.332453942616,6624.44
387,6405.453945074925,6328.04
388,6130.378232826415,6171.64
389,6034.1732346153885,6061.69
390,5976.102953615424,5964.03
391,5943.776395641426,6016.43
392,6064.626663636471,6081.83
393,6249.868037251422,6232.99
394,6470.878998245019,6483.59
395,6828.403456177469,6855.29
396,7191.088033286646,7216.84
397,7513.777518610792,7412.36
398,7573.896011607057,7697.74
399,7856.434309178501,7842.66
400,7893.643754893153,7835.88
401,7779.939761614574,7866.73
402,7800.959887929838,7765.25
403,7646.768442965611,7676.44
404,7658.865532367838,7695.17
405,7677.1636903842045,7570.22
406,7508.50541512538,7584.84
407,7582.401024702896,7537.73
408,7551.775307393379,7612.64
409,7623.264530633558,7607.99
410,7566.1777134774275,7563.27
411,7569.739326383335,7551.09
412,7561.56377005402,7551.52
413,7595.857291957798,7596.55
414,7643.569271996522,7656.36
415,7759.918914780595,7755.9
416,7858.306657382449,7825.67
417,7994.893546427563,8038.54
418,8270.02030632391,8277.66
419,8399.911603241891,8297.96
420,8340.516335106664,8389.77
421,8376.994749825792,8322.28
422,8256.721335148239,8240.76
423,8108.164269998791,7982.14
424,7796.178492532395,7695.08
425,7544.736548324719,7598.09
426,7436.351515291171,7354.4
427,7304.193649853715,7411.82
428,7358.343605624748,7363.65
429,7303.254130052937,7352.85
430,7245.466839639845,7250.19
431,7122.192029369517,7020.27
432,6948.871117597071,7006.56
433,6845.451864126565,6839.02
434,6654.623735917631,6691.85
435,6415.959278146588,6412.39
436,6167.713515584225,6154.11
437,6010.28868536463,6028.44
438,5941.266710670939,5925.71
439,5917.809795673748,5917.02
440,5953.808901912901,5974.62
441,6141.66283145817,6175.1
442,6368.954127344913,6374.53
443,6704.867774237607,6784.16
444,7137.859679618489,7148.31
445,7432.993379967564,7390.96
446,7625.091391543895,7592.67
447,7686.512792912333,7633.07
448,7655.1384057035675,7641.63
449,7549.049574169295,7614.54
450,7546.193802549302,7558.22
451,7530.17847593747,7596.73
452,7593.95947516964,7689.16
453,7751.82647455359,7666.5
454,7607.725997101314,7655.7
455,7637.206586578843,7481.0
456,7375.629569757728,7381.47
457,7347.320577868075,7391.35
458,7385.8363173966545,7414.34
459,7477.673920262563,7478.28
460,7586.736125306062,7740.78
461,7833.115485343722,7833.55
462,7922.165987963888,7835.82
463,7928.647656228982,7932.46
464,8039.454099416109,8053.0
465,8206.27491912711,8169.5
466,8310.155170702164,8347.31
467,8429.290463076315,8273.22
468,8293.207207147756,8314.77
469,8304.888655169641,8249.52
470,8166.749344577807,8025.72
471,7879.483933777552,7831.95
472,7684.9327972876345,7637.13
473,7491.122154410088,7452.82
474,7313.147621687662,7278.14
475,7224.920207394458,7278.65
476,7201.374151096182,7194.91
477,7202.473434216611,7283.96
478,7276.052015856232,7130.53
479,6991.941613207672,7069.78
480,6974.606213336047,6975.71
481,6803.508875467876,6794.87
482,6635.327278002725,6653.17
483,6426.352275767913,6324.99
484,6132.457117965195,6130.71
485,5987.326813344697,6018.37
486,5962.438174161842,5944.87
487,5934.341254724455,5948.45
488,6010.746382392299,6008.16
489,6163.244822172506,6192.45
490,6388.169554415067,6344.75
491,6676.164810468759,6766.77
492,7070.170631558525,7061.13
493,7359.739133909166,7370.28
494,7539.01705171315,7652.32
495,7857.56289985498,7789.24
496,7863.006318963933,7868.91
497,7815.261821416239,7895.12
498,7819.050594015873,7798.88
499,7736.708328319393,7717.75
500,7674.772225232556,7659.98
501,7575.206282041228,7646.45
502,7540.399539734158,7512.19
503,7480.261864680882,7415.88
504,7350.309772039371,7393.31
505,7382.784232469263,7394.5
506,7385.158402258898,7398.47
507,7399.185150154521,7233.26
508,7221.705739499878,7271.94
509,7294.018320824872,7216.22
510,7283.485823765559,7332.64
511,7468.613303119281,7511.79
512,7744.03377325865,7693.98
513,7924.858121405884,7821.57
514,8069.462381821279,8094.0
515,8315.245817547422,8186.43
516,8266.210979640731,8312.6
517,8328.917820730967,8322.77
518,8238.79616327536,8240.52
519,8078.557424261195,7969.41
520,7794.949350093591,7782.35
521,7581.873609325496,7563.76
522,7401.492463350084,7370.68
523,7295.664549278064,7334.71
524,7252.505917338335,7282.53
525,7240.360857114563,7295.03
526,7200.254740002781,7236.68
527,7153.254731524194,7169.83
528,7077.121430124742,7092.19
529,6929.487516467844,6923.2
530,6720.033104954958,6648.39
531,6408.973650297338,6414.17
532,6175.034394580337,6187.54
533,6046.096730935791,6048.19
534,5976.453620232391,5980.32
535,5989.7609479752,5938.67
536,5965.338207434859,5957.09
537,6116.338935639484,6148.53
538,6328.004796462666,6324.39
539,6630.659007266475,6681.96
540,7000.062575715666,6980.77
541,7284.0277008484945,7289.52
542,7572.671039284063,7501.92
543,7617.946348068099,7606.83
544,7636.12956954875,7607.87
545,7569.38186492041,7527.18
546,7461.9518796265365,7450.24
547,7348.6188016424385,7371.15
548,7318.548941459883,7369.88
549,7322.348503675973,7274.28
550,7210.644451330833,7241.64
551,7187.980251594977,7223.14
552,7192.353839719144,7190.34
553,7178.814628265278,7121.62
554,7104.592342999223,7077.05
555,7037.878383503983,6998.31
556,7026.689585740609,6995.67
557,7082.03800777232,7052.21
558,7161.262725725013,7095.57
559,7201.784003080109,7192.05
560,7313.314138491245,7253.96
561,7449.993970479265,7384.26
562,7555.963601953697,7635.95
563,7838.6991219369775,7765.17
564,7877.776845678849,7884.47
565,7983.295333194719,7959.54
566,8002.786845365782,7902.08
567,7824.039552657687,7710.22
568,7554.003785487763,7420.43
569,7268.832524927696,7242.78
570,7154.786350264733,7155.2
571,7073.813268605622,7167.59
572,7119.094152034329,7068.44
573,7024.935137146274,7154.91
574,7122.354906041562,7044.53
575,6947.978632535054,7002.55
576,6893.14731272175,6877.91
577,6714.856103621747,6694.18
578,6518.423198825134,6525.63
579,6321.720194287287,6268.11
580,6104.296725486518,6055.79
581,5929.395710067507,5900.75
582,5816.77695743967,5791.84
583,5769.819012509731,5725.28
584,5724.965000485965,5720.19
585,5767.850060074956,5768.4
586,5828.370150162338,5826.13
587,5950.731735170605,6030.6
588,6162.9343756888,6166.44
589,6362.4219429683235,6327.41
590,6499.185531004489,6548.96
591,6759.259653022904,6691.67
592,6848.195913209817,6731.33
593,6799.380472282022,6783.54
594,6754.184422335062,6653.74
595,6592.005405816767,6560.71
596,6497.274299109471,6500.12
597,6422.454182491363,6476.96
598,6468.82906806261,6536.13
599,6538.898800895153,6478.54
600,6446.507761897552,6485.07
601,6492.046066212956,6473.69
602,6498.015530894788,6424.94
603,6405.558695516085,6358.18
604,6403.414813322584,6436.87
605,6535.486422436936,6534.62
606,6705.610608259231,6659.13
607,6853.295684447745,6799.29
608,7024.229749224794,6955.21
609,7159.842155856517,7149.2
610,7355.028073193748,7415.66
611,7688.490313221589,7635.08
612,7824.861573218801,7751.9
613,7838.211634370548,7840.03
614,7842.083960799141,7719.69
615,7639.838586085846,7492.53
616,7406.527145128369,7231.58
617,7143.448841823346,7154.54
618,7044.471755720887,6976.15
619,6903.792647811739,6927.87
620,6870.920689014528,6846.35
621,6814.08713803721,6925.68
622,6874.1459522139085,6753.74
623,6696.220624170642,6672.57
624,6548.7932160954515,6540.57
625,6409.713563896816,6400.52
626,6226.797341615642,6213.08
627,6055.40696737676,5986.73
628,5852.558534730638,5796.76
629,5770.464475324754,5686.67
630,5631.915590569154,5606.78
631,5610.646061021586,5636.56
632,5630.4896327846545,5599.99
633,5643.23689143063,5611.82
634,5659.925477713483,5680.42
635,5723.289644611017,5796.51
636,5880.183386574574,5950.28
637,6082.496202056391,6062.41
638,6171.49815890534,6210.35
639,6340.748303267637,6326.6
640,6420.874725914601,6432.47
641,6512.162153432081,6546.09
642,6667.7410621519075,6623.47
643,6655.863201544444,6656.38
644,6657.585768619067,6644.92
645,6614.980423371301,6536.48
646,6501.502372705981,6536.74
647,6523.191981941212,6507.83
648,6458.280894043184,6459.7
649,6478.636649802177,6349.55
650,6350.402848697054,6447.38
651,6497.398305505693,6374.97
652,6401.08277935025,6358.57
653,6448.958056879709,6362.48
654,6519.714011435277,6605.89
655,6799.361876558743,6795.46
656,7057.4260017579945,6960.63
657,7206.04254523348,7240.64
658,7530.581604686624,7596.7
659,7858.197276075959,7772.38
660,7910.332211673247,7823.8
661,7927.465348990652,7956.25
662,7991.481656294091,7841.31
663,7756.076232389977,7601.26
664,7441.754178671576,7366.74
665,7253.025191346056,7229.36
666,7122.058339088862,7038.46
667,6969.141538828456,6991.78
668,6939.785693663563,6851.83
669,6833.703394345553,6929.15
670,6886.161795267913,6798.53
671,6717.317925597611,6607.32
672,6488.638324206366,6528.03
673,6389.213336714072,6352.12
674,6192.64752269228,6253.02
675,6113.616627558802,6028.72
676,5893.117397657249,5875.98
677,5776.0929108766295,5823.64
678,5799.95468437828,5767.22
679,5753.172125871367,5815.55
680,5854.7014668483,5855.96
681,5952.688852318433,6023.27
682,6197.5245363431495,6204.33
683,6398.137555108647,6655.27
684,6898.567273757652,6942.72
685,7245.631775148131,7239.23
686,7495.615787420299,7522.92
687,7682.302031989505,7707.71
688,7826.1689685719175,7850.1
689,7899.402437796852,7853.23
690,7791.317139192462,7817.42
691,7779.0719119900605,7837.11
692,7814.961222369496,7809.29
693,7799.150460078184,7732.46
694,7676.727977947979,7677.65
695,7661.06822758357,7623.05
696,7549.05301462782,7563.64
697,7547.433164503844,7534.35
698,7529.802858749914,7470.61
699,7397.7905982982675,7372.71
700,7375.548066751299,7237.98
701,7242.7061968316275,7388.58
702,7518.373015841191,7414.75
703,7553.107695759229,7506.86
704,7706.068768144918,7651.59
705,7845.141862584652,7851.39
706,8095.110779574594,8157.38
707,8389.850662269168,8215.85
708,8326.131502817916,8317.5
709,8361.340411038345,8298.88
710,8225.937007630078,8138.88
711,7984.6294988508225,7932.57
712,7729.4479506825965,7636.84
713,7486.489194257661,7467.67
714,7314.127176540207,7313.67
715,7220.833030512652,7290.7
716,7203.104496004942,7235.35
717,7211.158976590539,7252.71
718,7155.196730766297,7145.94
719,7031.058182459502,7084.81
720,6964.352863055022,6982.51
721,6832.101572029253,6831.76
722,6648.206071184171,6640.04
723,6395.25478424015,6368.46
724,6166.669639587417,6119.14
725,5976.097610672914,6004.86
726,5935.597007657505,5939.36
727,5934.225233424269,5950.11
728,5995.634058601892,5986.58
729,6122.999661252564,6132.17
730,6285.680571865918,6253.9
731,6511.226488810293,6650.21
732,6956.437962686234,6935.7
733,7252.567189132158,7197.99
734,7412.002433046123,7383.4
735,7513.823354610839,7530.94
736,7546.282097094141,7533.12
737,7475.836405504156,7472.4
738,7349.295427499433,7285.15
739,7177.783272887107,7199.43
740,7156.734801493458,7044.62
741,6975.595420878266,6994.26
742,6965.282431993339,6933.15
743,6942.52720783381,6983.14
744,7009.3713559980115,7065.69
745,7116.312145205851,7041.65
746,7059.135216594408,7066.0
747,7106.116899839359,7101.39
748,7131.739270275507,7153.22
749,7233.744603354117,7273.58
750,7375.07680110334,7363.62
751,7470.105208834997,7550.24
752,7777.658868265838,7783.27
753,8009.060723875809,8049.69
754,8314.46360962015,8301.82
755,8443.779713810078,8400.24
756,8432.205954412253,8523.36
757,8452.194824408132,8420.39
758,8336.88062768097,8266.16
759,8103.471819589995,7938.27
760,7773.201934843266,7755.81
761,7570.80687488116,7588.31
762,7419.949276497423,7398.7
763,7322.519896251654,7385.78
764,7338.53753873766,7377.39
765,7330.6079850073065,7331.18
766,7226.937802353787,7288.91
767,7169.095763841429,7155.66
768,7052.044555133445,7098.44
769,6931.508969008602,6930.93
770,6729.387282881788,6724.39
771,6450.696962098085,6448.24
